latitude,longitude,flood_height,elevation,precipitation
14.398914,121.046463,1,10.57996464,10
14.40649,121.046753,1,10.34284878,10
14.405944,121.046822,1,10.34284878,10
14.406526,121.046745,1,10.34284878,10
14.413447,121.045898,1,19.74563217,10
14.413868,121.045853,1,20.49467278,10
14.643273,121.116173,1,21.86725807,14
14.627425,121.007721,1,14.36435032,8
14.443823,121.004662,1,22.67261505,7
14.650815,121.04908,1,49.81335831,9
14.65808,121.066589,1,68.61908722,10
14.454774,120.990021,1,13.34719563,6
14.420466,120.9254,1,12.30552197,6
14.6475972,121.0599171,1,61.57303619,10
14.699569,121.057083,1,56.9978714,12
14.65384693,121.0662042,1,66.52373505,10
14.64546504,121.0687576,1,61.65530396,11
14.651707,121.101654,1,14.54311562,14
14.656518,121.035606,1,41.16727448,9
14.55924014,121.0268114,1,35.76551437,8
14.47374798,121.0342896,1,26.41462135,8
14.5020619,120.9945819,1,6.407092571,6
14.56555891,121.0784492,1,9.165306091,10
14.65894332,120.9896038,1,25.18369675,9
14.41341072,121.0137265,1,47.61797333,9
14.41744718,120.9659277,1,23.2471199,7
14.64874797,121.0706492,1,67.34409332,11
14.6532107,121.0661109,1,66.78636169,10
14.70417296,121.053848,1,48.01903152,12
14.65877999,121.0199918,1,24.35269356,9
14.65748498,121.069201,1,71.97007751,11
14.65620995,121.0645251,1,65.68758392,10
14.68422139,121.0223508,1,31.50296593,10
14.74900935,120.9698305,1,10.55716133,11
14.58819387,120.9691451,1,8.058929443,8
14.64719069,121.0689489,1,64.26390076,11
14.65405966,121.0623345,1,61.39094925,10
14.71596886,121.1105927,1,51.44949341,18
14.57064577,121.1334611,1,17.92002106,15
14.60034911,121.1180279,1,11.49376297,14
14.60033873,121.1187575,1,11.7881403,14
14.60031796,121.1195192,1,11.7881403,14
14.60113817,121.1200879,1,12.31499767,14
14.60032834,121.12012,1,12.15968513,14
14.59998572,121.1201415,1,12.02740574,14
14.60077478,121.1180172,1,11.49376297,14
14.60073326,121.1191115,1,11.7881403,14
14.60145483,121.1170355,1,11.24667835,14
14.60075402,121.1200986,1,12.15968513,14
14.60120046,121.1156569,1,10.89185715,13
14.60142368,121.1186234,1,11.50854111,14
14.62820144,121.0773665,2,30.427145,11
14.61515518,120.9956548,2,8.328502655,8
14.533759,121.024834,2,17.21850967,7
14.650565,121.115189,2,26.14449883,15
14.616641,121.044144,2,37.54481125,9
14.579534,121.020325,2,8.821003914,8
14.571518,121.016319,2,7.404438019,7
14.571284,121.018105,2,7.445783138,8
14.55265,120.996239,2,10.39242363,7
14.553486,120.996651,2,9.736071587,7
14.578215,120.993439,2,7.969151974,8
14.577011,120.990547,2,8.119840622,8
14.57874,120.990402,2,8.088008881,8
14.560067,121.043945,2,20.77256775,8
14.521276,120.993462,2,5.916169643,6
14.595046,121.082558,2,13.27893448,10
14.460613,121.017151,2,18.02153587,7
14.651946,121.062386,2,61.34733963,10
14.641732,121.078133,2,58.71344376,11
14.567219,121.091141,2,6.173615932,11
14.584393,121.091347,2,8.36093235,11
14.584456,121.091293,2,8.36093235,11
14.584414,121.091324,2,8.36093235,11
14.636635,121.052071,2,50.62649918,9
14.646912,121.052124,2,54.67752075,9
14.651946,121.05896,2,57.4038887,10
14.592232,120.989479,2,8.059530258,8
14.520362,121.001579,2,7.374724865,6
14.51764,121.001045,2,6.968441963,6
14.537758,121.00209,2,7.857555389,7
14.627375,121.079659,2,14.20392418,11
14.570023,121.037727,2,9.429938316,8
14.667837,121.033997,2,39.84330368,10
14.660966,121.036667,2,42.01483154,9
14.560963,121.099831,2,6.773479462,11
14.561497,121.095207,2,6.148144722,11
14.560921,121.100975,2,6.844926834,12
14.567053,121.094116,2,5.353973389,11
14.558309,121.006996,2,8.089800835,7
14.558496,121.007591,2,9.384431839,7
14.660377,120.952049,2,5.943283081,9
14.568392,121.08593,2,7.703298569,11
14.669301,120.948036,2,7.236624241,9
14.686156,121.082298,2,79.67933655,13
14.537477,121.022072,2,14.45121384,7
14.601798,121.005157,2,7.805001736,8
14.591486,120.997597,2,7.144968987,8
14.669887,121.108414,2,19.0633049,15
14.669228,121.109154,2,18.94224358,15
14.498872,121.005341,2,7.171925545,6
14.486625,121.044853,2,33.51586914,8
14.554716,121.024361,2,20.66172218,7
14.465848,121.020157,2,21.36577034,7
14.529044,121.05719,2,7.636600971,8
14.647306,121.070915,2,64.04302216,11
14.647763,121.074326,2,67.07157135,11
14.65862,121.104362,2,16.31342697,14
14.669124,121.108368,2,18.76385498,15
14.383555,121.051544,2,6.945338249,11
14.395807,121.044945,2,16.48077965,10
14.398421,121.045959,2,13.00619125,10
14.413852,121.045853,2,20.49467278,10
14.413639,121.045891,2,20.49467278,10
14.395023,121.044907,2,15.75797844,10
14.406428,121.046761,2,10.34284878,10
14.604909,120.978249,2,13.4915123,8
14.546741,121.019897,2,11.8751688,7
14.433101,121.027031,2,32.82038879,9
14.653529,121.052765,2,49.84909439,9
14.711716,121.048546,2,42.68395996,12
14.640019,121.070427,2,53.15977097,10
14.63977,121.069359,2,53.45264435,10
14.640517,121.06852,2,54.53970718,10
14.712961,121.049377,2,43.36603165,12
14.633396,121.095001,2,13.57764435,12
14.66462,121.047516,2,47.75509262,9
14.395828,121.04493,2,16.48077965,10
14.641254,121.072372,2,57.44963455,10
14.661713,121.05751,2,58.79624939,10
14.660364,121.063667,2,66.046875,11
14.661962,121.057404,2,58.79624939,10
14.665512,121.032898,2,38.20153809,9
14.660239,121.063095,2,64.8717041,11
14.54915,121.016808,2,8.467744827,7
